Nama,Harga,Terjual,Kota
CALCIUM 99 - 1 kg / Pupuk Kalsium Murni / Nutrisi Tanaman Sehat Petani,Rp17.500,22 Terjual,KAB. JEMBER
Pupuk Yaramila Tropicote 1 Kg / Pupuk Kalsium Nitrat / YARA,Rp17.000,16 Terjual,KOTA MAGELANG
Pupuk CN-G calsium nitrat pak tani kemasan Repack 100gram,Rp7.500 - Rp26.500,15 Terjual,KOTA JAKARTA SELATAN
Kalsium MILAGROW 1Kg anti rontok & busuk unsur hara kandungan lebih tinggi dari Mano hara,Rp29.000,24 Terjual,KAB. PONOROGO
"(COD AMAN) Pupuk pelebat Bawang Merah Terbaik Verti-Cals 500 ML - Pupuk Semprot Pelebat Bawang Merah Paling Bagus, Pupuk Kalsium Tanaman Bawang Merah Sehat dan Lebat Hasil Banyak - Pupuk Bawang Merah Terlaris 100% ORIGINAL",Rp29.999,7 Terjual,KOTA TASIKMALAYA
"PROMO MURAH FORTUNE Obat Anti Penyakit Kuning Keriting Rontok Daun Cabe Terbaik - Pupuk Kalsium Serbuk Bisa Semprot Cabe Atasi Penyakit Kriting Kuning Daun Cabe Rontok dan Bintik Hitam, Pupuk Majemuk Cair Organik Cabe Anti Kuning Keriting Rontok TERBAGUS",Rp30.000,8 Terjual,KOTA TASIKMALAYA
fertipos 50 kg pak tani / TS sp36 pak tani / pospat / kalsium / boron / pupuk hitam / pupuk Sp / pupuk pospat,Rp180.000,,KAB. MAGETAN
Pupuk Kalsium FORTUNE 1 KG Obat Penyakit Layu Pada Tanaman Cabe - Obat Layu Pada Cabai - Obat Layu Fusarium Pada Cabai - Obat Mati Layu Pada Tanaman Cabe - Obat Tanaman Cabe Layu - Obat Layu Daun Pada Cabe Ampuh  ~,Rp76.000,,KOTA JAKARTA BARAT
MKP Pak Tani KNO3 Putih Boron Meroke Paket Pupuk Anggur Tanaman Booster Buah Sayur Hepi Happy,Rp6.000 - Rp37.999,"1,3RB Terjual",KOTA DEPOK
KALSITOR 1 LITER CALSIUM CAIR + BORON + MAGNESIUM ANTI RONTOK DAN LAYU,Rp33.000,112 Terjual,KAB. KUDUS
Pupuk Kalsium 1 Kg Calsium 1 Kg Cap Tawon,Rp17.500,39 Terjual,KAB. MADIUN
"NPK boroni 1 kg, npk kuning kalsium anti rontok, pupuk tunas baru",Rp22.500,25 Terjual,KOTA BANDUNG
Pupuk Super terobos untuk daun buah dan bunga 1 lt,Rp17.820,14 Terjual,KAB. BOGOR
PAKET HEMAT PUPUK JIMMY HANTU 1000ml,Rp269.500,166 Terjual,KAB. BLORA
Pupuk organik cair /asap cair murni kemasan 1liter/anti hama/nutrisi untuk tanaman | wood vinegar/cuka kayu/insektisida/fungisida/pestisida/disinfektan/kalium/kalsium/anti jamur/pengawet kayu/liquid smoke/smoke oil,Rp15.900,319 Terjual,KAB. LEBAK
pupuk cantik calsium amonium nitrate 1kg reepack penyubur tanah dan tanaman,Rp22.000,31 Terjual,KAB. INDRAMAYU
Pupuk Kalsium + Magnesium + Zink - kemasan 1 Kg,Rp22.000,31 Terjual,KAB. NGANJUK
pupuk kalsium nitrat  untuk hydroponik,Rp22.000,15 Terjual,KAB. GROBOGAN
PUPUK BORON BLUE + ZINK + KALSIUM MURNI 100% - 1kg,Rp19.999,647 Terjual,KAB. NGANJUK
JAVA HIGROS CALSIUM KALSIUM 1 KG,Rp38.000,25 Terjual,KAB. TULUNGAGUNG
Pupuk Cal-ha Kemasan 1 Kg - Pupuk Kalsium Asam Humat ( Humic Acid ) Produk Mitra Merdeka Tani ( MMT ) - Untuk Ketahanan Tanaman Terhadap Penyakit - Meningkatkan pH Tanah,Rp35.000,16 Terjual,KAB. KLATEN
Pupuk Kalsium Super - JAVA HIGROS Calsium Larut tanpa endapan,Rp45.000,57 Terjual,KAB. KENDAL
JAVA HIGROS Calsium Super Java Higros Calsium 1 Kg,Rp39.895,15 Terjual,KAB. KLATEN
Kalsium - MANOHARA - 1 kg kalsium Baron,Rp17.500,20 Terjual,KAB. KEDIRI
Pupuk kalsium Boron Plus Zinc Vitala,Rp35.000,206 Terjual,KAB. KEDIRI
Pupuk calsium + asam humate (cal-Ha) repack 100 gr,Rp5.000,3 Terjual,KOTA SURABAYA
KALSIUM SUSU 1 KG CALSIUM + BORON + MAGNESIUM ANTI RONTOK DAN LAYU,Rp34.000,79 Terjual,KAB. KUDUS
Pupuk KS 1 Kg Kalsium Nitrat Pupuk Cantik 1 Kg,Rp22.000,22 Terjual,KAB. MADIUN
PUPUK KALSIUM NITRAT KARATE PLUS BORONI 1KG (REPACK),Rp95.000,29 Terjual,KOTA TANGERANG SELATAN
Pupuk Soluble Kalsium Nitrat CN-G Pak Tani Kemasan 1 Kg Original,Rp25.000,131 Terjual,KAB. DEMAK
pupuk cangkang telur 1 kg pupuk kulit telur 1 kg pupuk kalsium pupuk organik cangkang telur pupuk kulit telur halus pupuk tanaman hias kulit telur kulit telur ayam kemasan cangkang telur kemasan pupuk organik terbaik pupuk organik dari cangkang telur,Rp6.500 - Rp10.000,100 Terjual,KAB. SUKOHARJO
pupuk calsus 1 kg calsium susu nutrisi tanaman anti layu dan rontok,Rp33.500,15 Terjual,KAB. PURWOREJO
Pupuk Kalsium Plus Boron yaraliva Nitrabor 1 kg kemasan repack,Rp18.720,13 Terjual,KAB. PASURUAN
